username,review,rating,date,Angry,Haha,Like,Love,Sad,Wow,gender,location
abdelati.reha,à 00 00 Black friday  j ai réussi à mettre dans le panier un article  Quand j ai voulu validé l achat  on m affiche stock épuisé tout ca avant 00 01  on peut accepter qu il y avait beaucoup de demandes  mais comment pour des 0 Likeprofessionnels   je m en doute maintenant0 Like ont cette faille dans leurs applications   ,1,2017-11-24 08:31:00,0,0,3,0,0,0,Male,Marrakech
Abdelazizelouardighi,site d arnaque       Merci jumia pour le black out ,1,2017-11-24 00:31:00,0,0,2,0,0,0,Male,"Casablanca, Morocco"
abdel.gestion,vous êtes que des arnaqueurs        ,1,2017-12-02 11:51:00,0,0,0,0,0,0,Male,"Casablanca, Morocco"
19O98,فاشلووون وستبقون فاشليييين     شركة دون مستوى  الله إنعل طبون تمكم من هاد لمنبر    ,1,2017-11-24 18:01:00,0,0,0,0,0,0,Male,"Kç?Nç?'Ç?, Ismayıllı, Azerbaijan"
28.ELMakkaoui,Don t trust them  bad quality  from China with high price and no black Friday just lies     Product hides in one second so why you do this black friday   To just sell the other product i think ,1,2017-11-24 19:19:00,0,0,0,0,0,0,Male,"Casablanca, Morocco"
33soufiane.el.ghazi,اكبر موقع نصاب في المغرب موقع ديال شفرة الله ينعل ليكم جدر ,1,2017-11-24 19:09:00,0,0,0,0,0,0,Male,Salé
44.Mr.Moha,anta chakhson sayia خخخخخخخخخخخخخخخخخخخخخخخخخخخخخخ ,1,2017-11-10 09:21:00,0,0,0,0,0,0,Male,"Casablanca, Morocco"
4bd3ll4z1z,vous vous etes foutu des gueules de vos visiteurs  je m attendais à ce que vous avez fait  et je savais que ça n allait pas bien finir avec toutes vos pubs bande d arnaqueurs ,1,2017-11-24 15:26:00,0,0,0,0,0,0,Male,"Casablanca, Morocco"
65432cdsf,    black kdooooooooooooooob ,1,2017-11-24 08:03:00,0,0,0,0,0,0,Male,Er Rachidia
121212121212121212121212M.S,null,1,2017-12-01 10:38:00,0,0,0,0,0,0,Male,"Busan, South Korea"
A3.cch,Fake Fake Fake ,1,2017-11-24 16:29:00,0,0,0,0,0,0,Male,"Agadir, Morocco"
a7medwhite,Fuck you jumia ,1,2017-11-24 09:43:00,0,0,0,0,0,0,Male,"Casablanca, Morocco"
aafaf.chahd,تبيعون الوهم للناس وتستغبون عقولهم تبا لكم ,1,2017-11-24 16:10:00,0,0,0,1,0,0,Female,Guelmim
aalae.tazzi,c un site arnaqueur qui ne respecte pas ses clients ,1,2017-11-25 00:17:00,0,0,0,0,0,0,N/A,Guelmim
abaalia,Arnaqueur           ,1,2017-11-25 19:36:00,0,0,1,0,0,0,Male,Marrakech
abbas.almarqa,Allah imsakhkoum ya rba3t chlahbia ,1,2017-11-14 00:28:00,0,0,0,0,0,0,N/A,Taza
abboudi.ma,scammers   there is no blackfriday  ,1,2017-11-25 03:31:00,0,0,0,0,0,0,Male,"Tangier, Morocco"
abdarahmanne.alamedare.5,متجر ممتاز للزبناء ويجب عليهم أن يعرفوا القوانيني قبل البداية بالشراء لقد تعاملت معهم ولم ألقى اي اشكال من حيث النقود ارجعت لهم 2احدية وارسلوا الي قيمة شراء على شكل كود وهو يدخل في الكابون وانا لم أعرف إدخاله لأني لا يجب علي أن أشتري أكثر من القيمة النقدية اللتي عندي في الكود وشرحت لهم دللك وارسلوا الي نقودي عن طريقة cache plisse واخدتها المهم هو أن لا تفوت البضاعة سبعة أيام وعند اخدها تصل إليهم في ضرف سبعة أيام آخرى ثم يتكلمون معكم في التلفون ويقولون لكم هل تريدون نقودكم ام قيمة شراء يخيرونكم هده شهادة مني والله هو الرقيب وشكراً جيميا jumia ,5,2017-11-30 21:27:00,0,0,0,0,0,0,N/A,"Casablanca, Morocco"
abde.hamza.56,توصلت بالطلبية في الوقت الغير المحداد والغير المتوقع       شكراً ,1,2017-11-20 11:00:00,0,0,0,0,0,0,Male,"Casablanca, Morocco"
abdel.abdou.14,nasb w l hhhtyal  tadhko 3la bnadem ,1,2017-11-24 09:27:00,0,0,1,0,0,0,Male,Marrakech
abdelali.bennar,l arnaque en personne  l arnaque en personne ,1,2017-11-26 11:29:00,0,0,0,0,0,0,Male,"Casablanca, Morocco"
abdelati.33,Black Fuck                       ,1,2017-11-24 21:07:00,0,0,0,0,0,0,Male,El Jadida
abdelaziz.kalipce.7,De l arnaque tout simplement ,1,2017-11-24 15:41:00,0,0,0,0,0,0,Male,"Casablanca, Morocco"
abdel.ez,CHFARA LAYN3L ZAML BOHA CHARIKA ,1,2017-11-24 15:16:00,0,0,0,0,0,0,Male,Khemisset
abdelhakim.tagri.9,l article reçu ne répond pas à mes attentes ,1,2017-12-02 10:36:00,0,0,0,0,0,0,Male,Tétouan
abdelhakim.zian1,Kdaba had jumia mati9ux bihum rah 8i nifa9 fihum   kidirulk z3ma produit kan b 2500 u rj3uwah b 1500 u hua f saraha taman dialu l original hua 1500,1,2017-11-24 21:09:00,0,0,0,0,0,0,Male,Tétouan
Abdelilah.horaichii,Ha matswaw                   ,1,2017-11-25 22:35:00,0,0,0,0,0,0,Male,Khemisset
abdelilah.lendani,If I could rate this below 1 star  i would certainly have done it  Totally unreliable  This is my first operation at Jumia  I ordered a Camera and I received a confirmation email  After that I received an sms saying I will receive a call below two hours  One day passed and no one called  After that I received an email saying that my order was cancelled since they talked to me on phone and I told them to cancel it which is not true  I called the service line who kept me 9 minuets waiting to hang up on me at the end  So apart from being unprofessional  Jumia people are LIARS  I would never recommend them to anyone ,1,2017-11-28 15:24:00,0,0,0,0,0,0,Male,Marrakech
abdelilah.ouhssaine.58,هههه التلاجة طارت  الله اخلي لينا غيربست وعلي اكسبرس ,1,2017-11-24 01:57:00,0,0,0,0,0,0,Male,Oujda
abdelkebir.sahid,Des produit de mauvaise qualités des annonce mensongères ,1,2017-11-25 15:00:00,0,0,2,0,0,0,Male,Settat
abdelkhalik.alamichentoufi,Fiable comme entité virtuelle   Surtout le paiement a la livraison  J vais pas oublié le suivi après la validation merci Jumia,4,2017-11-26 22:39:00,0,0,0,0,0,0,Male,"New Fes, Fès, Morocco"
abdellah.allaoui.925,J ai acheté un article sur jumia  Apres 3 jours l article m a ete livrer par une autre personne que je connaisse pas  Cette personne a pris mes informations personnelles et ma commande qui doivent normalement etre confidentiels sur jumia  Mais malheuresement et sans que je le sache javais recu cette commande aupres de alamana et j avais payer l article  L arnaque au vrai sebs du terme    ,1,2017-11-27 16:25:00,1,0,0,0,0,0,Male,Meknes
abdellah.blhaj,Justice Utilité Modernité Importance Authenticité    Vous connaissez pas    C est simple  c est JUMIA,5,2017-11-16 14:33:00,0,0,0,0,0,0,Male,"Rabat, Morocco"
abdellah.garmali,black kedba hechouma 3likom tkadbou 3la 3ibad llah ,1,2017-11-25 14:38:00,0,0,0,0,0,0,Male,"Casablanca, Morocco"
AbdellahTimija1996,Shame on you  You interest is to be famous   and that s what you are really get   but you are famous now as a liars  ,1,2017-11-24 20:26:00,0,0,3,0,0,0,Male,"Asfi, Safi, Morocco"
abdellatif.amriamine,Service rapide  Bon accueil aux points de relais à El JADIDA  90  satisfait de la marchandise,4,2017-11-30 12:29:00,0,0,0,0,0,0,Male,El Jadida
abdellatif.kassimi.92,Very poor quality  The company cares about revenue more than customers  ,1,2017-11-25 22:13:00,0,0,1,0,0,0,Male,Meknes
abdelmajidtariko,Menteurs  où est le live du 23 11 2017  vous l avez supprimé pour évité la honte  ,1,2017-11-24 11:26:00,0,0,0,0,0,0,Male,"Casablanca, Morocco"
